Job Result,Job Creation Time,Job Completion Time,Product Name,Cores,Storage (GB)
SUCCESS,9/20/19 9:27,9/20/19 10:36,Product 3,6,40
SUCCESS,9/19/19 17:13,9/19/19 17:53,Product 5,14,960
SUCCESS,9/19/19 16:46,9/19/19 17:29,Product 4,48,2400
FAILURE,9/19/19 16:27,9/19/19 16:27,Product 4,48,2400
SUCCESS,9/19/19 1:49,9/19/19 2:22,Product 1 ,48,12000
SUCCESS,9/18/19 14:41,9/18/19 15:20,Product 2,16,960
SUCCESS,9/17/19 13:20,9/17/19 14:18,Product 4,48,2400
SUCCESS,9/13/19 20:20,9/13/19 21:12,Product 4,48,2400
SUCCESS,9/13/19 15:57,9/13/19 16:08,Product 3,6,40
SUCCESS,9/13/19 14:47,9/13/19 15:58,Product 3,6,40
FAILURE,9/13/19 14:46,9/13/19 15:50,Product 3,6,40
SUCCESS,9/13/19 14:45,9/13/19 15:54,Product 3,6,40
FAILURE,9/13/19 9:37,9/13/19 9:40,Product 3,6,40
FAILURE,9/13/19 9:35,9/13/19 9:37,Product 3,6,40
FAILURE,9/13/19 9:33,9/13/19 9:35,Product 3,6,40
FAILURE,9/12/19 20:38,9/12/19 21:34,Product 2,16,960
SUCCESS,9/12/19 18:40,9/12/19 19:18,Product 1 ,48,2400
SUCCESS,9/12/19 17:09,9/12/19 18:16,Product 3,6,40
SUCCESS,9/12/19 17:07,9/12/19 18:18,Product 3,6,40
SUCCESS,9/12/19 17:00,9/12/19 18:09,Product 3,6,40
FAILURE,9/12/19 16:52,9/12/19 16:55,Product 3,6,40
SUCCESS,9/12/19 16:00,9/12/19 17:07,Product 3,6,40
SUCCESS,9/12/19 15:46,9/12/19 16:51,Product 3,6,40
FAILURE,9/12/19 15:41,9/12/19 15:43,Product 3,6,40
FAILURE,9/12/19 14:21,9/12/19 14:25,Product 3,6,40
FAILURE,9/12/19 14:17,9/12/19 14:19,Product 3,6,40
FAILURE,9/12/19 12:27,9/12/19 12:29,Product 3,6,40
FAILURE,9/12/19 12:27,9/12/19 12:29,Product 3,6,40
FAILURE,9/12/19 9:13,9/12/19 9:16,Product 3,6,40
FAILURE,9/12/19 9:13,9/12/19 9:15,Product 3,6,40
FAILURE,9/12/19 9:11,9/12/19 9:14,Product 3,6,40
FAILURE,9/12/19 9:09,9/12/19 9:11,Product 3,6,40
SUCCESS,9/12/19 4:38,9/12/19 4:51,Product 2,16,1920
FAILURE,9/12/19 4:28,9/12/19 4:32,Product 2,16,1920
FAILURE,9/12/19 4:12,9/12/19 4:16,Product 2,16,1920
FAILURE,9/12/19 2:52,9/12/19 3:25,Product 2,16,1920
FAILURE,9/12/19 2:45,9/12/19 2:48,Product 2,16,1920
FAILURE,9/12/19 2:39,9/12/19 2:43,Product 2,16,1920
SUCCESS,9/11/19 16:11,9/11/19 16:41,Product 1,48,2400
FAILURE,9/11/19 16:00,9/11/19 16:03,Product 1,48,2400
SUCCESS,9/10/19 18:18,9/10/19 18:31,Product 3,6,40
FAILURE,9/10/19 17:14,9/10/19 18:12,Product 3,6,40
FAILURE,9/10/19 15:27,9/10/19 15:39,Product 3,6,40
SUCCESS,9/10/19 14:08,9/10/19 14:52,Product 5,14,960
FAILURE,9/10/19 12:25,9/10/19 12:27,Product 3,6,40
SUCCESS,9/9/19 20:18,9/9/19 20:28,Product 3,6,40
SUCCESS,9/9/19 19:05,9/9/19 20:16,Product 3,6,40
FAILURE,9/9/19 19:05,9/9/19 20:09,Product 3,6,40
SUCCESS,9/9/19 19:05,9/9/19 20:14,Product 3,6,40
SUCCESS,9/9/19 19:05,9/9/19 20:13,Product 3,6,40
FAILURE,9/9/19 18:58,9/9/19 19:03,Product 3,6,40
FAILURE,9/9/19 18:57,9/9/19 19:04,Product 3,6,40
FAILURE,9/9/19 18:57,9/9/19 19:02,Product 3,6,40
FAILURE,9/9/19 18:56,9/9/19 19:03,Product 3,6,40
FAILURE,9/9/19 18:45,9/9/19 18:48,Product 3,6,40
FAILURE,9/9/19 18:44,9/9/19 18:46,Product 3,6,40
FAILURE,9/9/19 18:43,9/9/19 18:46,Product 3,6,40
FAILURE,9/9/19 18:42,9/9/19 18:45,Product 3,6,40
FAILURE,9/9/19 12:13,9/9/19 12:16,Product 3,6,40
